('daw', 'god; the sun', 'n')
('i:i', 'a pearl; any feminine jewel; a gift meant to impart knowledge/seperate epochs', 'n')
('dawt', 'to worship', 'v')
('dawc', 'a church', 'n')
('dawk', 'a temple', 'n')
('stodawk', 'a cathedral', 'n')
('dawms', '(sl) church trash', 'n')
('do', 'prayer', 'n')
('tantik', 'a redwood; a tree good for lumber', 'n')
('tanti:i', 'furniture (gen)', 'n')
('tanst', 'a small building', 'n')
('tami', 'a small dwelling; a hut, shack, small cabin, or tiny home', 'n')
('gox', 'a domesticated animal; a four legged furry animal', 'n')
('goxt', 'to tame; to be whipped (sl)', 'v')
('goa', 'of lower class; cheap', 'adj')
('goa', 'a lower class person or animal', 'n')
('gost', 'a stuffed animal/animal fetish of personal importance', 'n')
('gomi', 'a stuffed animal; any misc toy for a child', 'n')
('oxe', 'the idea of a simple part of a human soul/mind', 'n')
('ox', 'a beast of burden', 'n')
('iest', 'stone; building stone', 'n')
('istoith', 'the holy text; a message carved in stone', 'n')
('iex', 'stone carved by water or plants', 'n')
('iems', 'a pebblle; a small rock; a brick', 'n')
('ieo', 'a sturdy object; a dependable aspect', 'n')
('ieo', 'sturdy; dependable', 'adj')
('hetik', 'the woods; a wooded area', 'n')
('heaw', 'wood defenders; spirit warriors; a member of the military; a soldier', 'n')
('hawth', 'land with edible/medicinal plants; a greenhouse; a bontanical garden', 'n')
('heipa', 'sustainability', 'n')
('heipa', 'sustainable', 'adj')
('ipipawx', 'water; a stream; a river; a pond', 'n')
('ipia', 'a tool used for carving', 'n')
('pipith', 'water in any man made vessle', 'n')
('ipioe', 'sentience; someone who lives with awareness', 'n')
('poawn', 'an atom; a fundamental substance', 'n')
('poawx', 'an ant', 'n')
('oawst', 'metal in a workable form', 'n')
('poipa', 'a connection (semantic, in actions, in values, in worldview)', 'n')
('coovooaw', 'a sickness', 'n')
('hukawas', 'the earth', 'n')
('awoipa', 'energy; the heart; emotion; concentration', 'n')
('thuk', 'an edible root', 'n')
('poi:i', 'light', 'n')
('pik', 'a cure', 'n')
('tantoith', 'a tower', 'n')
('sheaw', 'bone', 'n')
('shuaw', 'spit', 'n')
('shucaw', 'skin', 'n')
('rawx', 'diurnal life', 'n')
('nrawx', 'nocturnal life', 'n')
('euc', 'a person', 'n')
('eawma', 'the moon; a demon; evil', 'n')
('ziet', 'to be', 'v')
('oeipa', 'the unexplainable, unknown, intangible parts of life', 'n')
('mua', 'jealousy', 'n')
('inooi:i', 'skepticism', 'n')
('coaipa', 'a promise', 'n')
('euaw', 'an eye', 'n')
('uaw', 'color', 'n')
('tiu', 'reds', 'n')
('etiu', 'red', 'n')
('uipa', 'blues', 'n')
('euipa', 'blue', 'n')
('du', 'greens', 'n')
('edu', 'green', 'n')
('ie', 'dark', 'adj')
('ie', 'the dark', 'n')
('uie', 'black', 'n')
('awma', 'white', 'n')
('ietiu', 'dark red', 'n')
('tiawma', 'light red', 'n')
('awmaipa', 'light blue', 'n')
('-oo', 'like', 'suff')
('eawmoo', 'bad; wet; many', 'adj')
('doo', 'good; dry; few/singular', 'adj')
('tanioo', 'new; small', 'adj')
('tikioo', 'old; big; strong', 'adj')
('estoo', 'dull; smooth; blunt; east', 'adj')
('estoo', 'the east', 'n')
('ipioo', 'sharp; pointed; fine; west', 'adj')
('ipioo', 'the west', 'n')
('hawthoo', 'close; near; calm; south', 'adj')
('hawthoo', 'the south', 'n')
('hetikoo', 'far; chaotic; north', 'adj')
('hetikoo', 'the north', 'n')
('ca', 'station; version; form; position; state', 'n')
('ipieca', 'ice (lit: stone water)', 'n')
('awshimi', 'air', 'n')
('ipishica', 'steam (lit: air water)', 'n')
('awmoo', 'fire', 'n')
('tawmca', 'ash', 'n')
('ntan', 'soil; ground; earth; the valley', 'n')
('mocashi', 'smoke', 'n')
('istoo', 'sand; dust', 'n')
('chaw', 'salt', 'n')
